index,neighbourhood,noise,safety,shopping,restaurant,nightlife,expense,transit
199,St. Albans,4,4,4,6,1,6,8
200,Tompkinsville,7,8,2,2,0,3,1
201,St. George,5,5,4,5,3,6,4
202,Stapleton,6,7,5,4,6,3,4
203,Stuyvesant Town,7,9,0,0,0,9,7
204,Sunnyside,1,4,8,8,8,5,9
205,Van Nest,4,7,2,4,5,7,6
206,Sunset Park,1,1,10,10,9,7,9
207,Theater District,4,2,7,7,10,10,9
208,Throgs Neck,4,4,6,6,7,7,5
209,Todt Hill,10,8,0,1,0,10,0
210,Tottenville,7,7,3,3,6,10,5
211,Tremont,4,3,7,5,1,0,2
212,Tribeca,3,5,9,9,9,10,9
213,Two Bridges,4,7,0,2,3,8,2
214,Vinegar Hill,6,8,0,0,0,9,2
215,Woodside,3,4,8,8,8,3,8
216,Unionport,4,5,6,5,3,7,7
217,University Heights,2,4,6,5,0,1,4
218,Upper East Side,0,1,10,10,10,10,10
219,Upper West Side,0,0,10,10,10,10,10
220,Windsor Terrace,6,8,4,5,6,8,5
221,Wakefield,2,2,7,7,3,3,7
222,Washington Heights,0,0,9,9,8,5,10
223,West Brighton,5,7,5,6,5,3,2
224,West Farms,3,4,4,3,0,1,4
225,Woodhaven,3,5,6,7,6,1,5
226,Woodlawn,8,8,1,3,6,1,2
227,West Village,1,2,10,10,10,10,8
228,Westchester Square,5,6,6,6,4,10,3
229,Westerleigh,9,9,2,2,1,2,0
230,Williamsbridge,3,3,6,6,2,5,4
231,Williamsburg,0,0,10,10,10,9,10
232,Willowbrook,10,10,0,0,0,10,0
